#property,areaCode,areaNumber,confidential,confidentialInformation,totalArea,cityCode,cityName,townName,numberOfBusinessFacilities,businessFacilityBuildingArea,totalFloorAreaOfBusinessFacilities,numberOfCommercialFacilities,commercialFacilityBuildingArea,TotalFloorAreaOfCommercialFacilities,NumberOfAccommodationFacilities,AccommodationBuildingArea,AccommodationTotalFloorArea,NumberOfCommercialComplexFacilities,CommercialComplexBuildingArea,TotalFloorAreaOfCommercialComplex,NumberOf Houses,ResidentialBuildingArea,TotalFloorAreaOfTheHouse,numberOfApartmentBuildings
199,372011380,2,,,,37201,高松市,植松町,1,39.74,39.74,4,559.82,643.92,,,,,,,188,12986.91,17428.97,2
200,372011390,2,,,,37201,高松市,中山町,11,1203.43,1633.65,10,1518.47,1968.89,5,276.05,485.35,,,,792,59533.89,81054.14,3
201,372011400,2,,,,37201,高松市,生島町,14,1176.16,1936.55,10,908.78,1469.4,7,370.99,714.18,,,,733,53585.47,75096.96,11
202,372011410,2,,,,37201,高松市,亀水町,12,1060.44,1720.27,6,529.54,797.16,,,,,,,799,61148.54,79741.2,
203,372011420,2,,,,37201,高松市,女木町,4,305.41,463.9,2,61.97,61.97,2,488.12,982.89,,,,361,20046.22,22252.85,
204,372011430,2,,,,37201,高松市,男木町,1,37.4,37.4,3,54.78,174.16,1,174.18,239.16,,,,338,16156.53,17844.62,
205,372011440,2,,,,37201,高松市,由良町,14,1219.05,1665.69,10,2784.22,3785.36,1,83.91,167.25,,,,1496,121358.29,168995.3,38
206,372011450,2,,,,37201,高松市,川島本町,9,1615.58,2766.34,17,3908.78,5190.33,,,,,,,652,59513.21,79773.88,5
207,372011460,2,,,,37201,高松市,川島東町,26,2063.83,3161.4,28,11480.84,12034.69,,,,,,,2204,178836.36,247138.67,20
208,372011470,2,,,,37201,高松市,小村町,18,3323.04,6427.34,7,1255.29,1433.68,,,,,,,702,67038.63,88460.08,36
209,372011480,2,,,,37201,高松市,亀田南町,2,156.17,205.85,,,,,,,,,,791,57250.28,82016.38,15
210,372011490,2,,,,37201,高松市,十川西町,12,1272.56,1438.88,27,9551.53,11356.68,,,,,,,1033,85160.3,121830.25,20
211,372011500,2,,,,37201,高松市,十川東町,13,1064.72,1579.57,11,5177.45,5565.14,,,,,,,1010,79125.79,108533.93,29
212,372011510,2,,,,37201,高松市,池田町,18,1224.95,1714.25,5,1195.18,1243.1,,,,,,,586,45826.41,60097.51,
213,372011520,2,,,,37201,高松市,東植田町,13,972.08,1045.5,6,374.13,401.96,1,39.49,110.99,,,,930,70107.21,88046.81,1
214,372011530,2,,,,37201,高松市,西植田町,29,2400.84,3038.08,10,934.95,977.95,,,,,,,1493,109961.05,140294.62,
215,372011540,2,,,,37201,高松市,菅沢町,1,63.18,63.18,,,,,,,,,,148,8191.18,9635.31,
216,372011560,2,,,,37201,高松市,塩江町安原,17,1114.5,1609.05,7,697.29,943.31,4,454.44,454.44,,,,866,56070.85,69525.35,
217,372011570,2,,,,37201,高松市,塩江町安原,8,326.45,590.35,3,99.06,99.06,,,,,,,338,20881.96,25513.65,1
218,372011580,2,,,,37201,高松市,塩江町安原,13,918.07,1037.41,21,2337.74,3794.41,11,4229.8,9657.91,,,,709,41338.57,53128.62,3
219,372011590,2,,,,37201,高松市,塩江町上西,4,410.77,739.49,7,846.69,1285.99,11,2538.45,9273.85,,,,799,39324.29,44318.31,1
220,37201160000,3,,,,37201,高松市,牟礼町牟礼,45,8823.75,15937.51,80,22373.41,24897.36,1,61.89,125.66,,,,3486,287950.09,406325.72,77
221,37201160000,3,,,,37201,高松市,牟礼町牟礼,3,128.96,206.34,3,293.61,373.61,,,,,,,236,16734.52,24856.7,7
222,372011610,2,,,,37201,高松市,牟礼町大町,23,2574.17,3772.73,15,2176.13,2350,,,,,,,1980,162554.86,228478.78,41
223,372011620,2,,,,37201,高松市,牟礼町原,12,859.27,1190.56,12,1348.88,1633.06,,,,,,,1037,79398.27,103884.53,16
224,372011630,2,,,,37201,高松市,庵治町,66,5961.85,9994.67,44,5214.79,6686.58,7,1269.07,5317.85,,,,2823,225236.01,307214.6,7
225,372011640,2,,,,37201,高松市,香川町東谷,3,311.06,311.06,2,90.26,90.26,,,,,,,365,20147.97,23312.67,
226,372011650,2,,,,37201,高松市,香川町川内,18,2187.05,2370.04,4,194.85,194.85,,,,,,,658,47434.69,61708.35,1
227,372011660,2,,,,37201,高松市,香川町川東,34,4139.86,6349.28,53,6922.27,9780.19,4,608,1220.35,,,,1844,125618.13,177088.53,11
228,372011670,2,,,,37201,高松市,香川町川東,19,4276.89,7141.47,40,15629.26,20289.59,8,4267.68,17061.96,,,,1072,85599.71,116587.55,12
229,37201168000,3,,,,37201,高松市,香川町浅野,33,2558.46,4525.27,64,6741.53,10593.5,2,627.33,2208.69,,,,4092,275019.18,397462.33,29
230,37201168000,3,,,,37201,高松市,香川町浅野,,,,,,,,,,,,,19,1666.92,2466.94,1
231,372011690,2,,,,37201,高松市,香川町大野,44,5161.93,7454.16,51,9023.83,11538.44,,,,,,,2552,191848.16,271092.22,33
232,372011700,2,,,,37201,高松市,香川町寺井,,,,5,1110.24,1330.57,,,,,,,151,13580.74,17199.64,2
233,372011710,2,,,,37201,高松市,香川町安原,9,1027.2,1101.77,1,82.91,82.91,,,,,,,204,14212.54,17874.4,
234,372011720,2,,,,37201,高松市,香南町吉光,14,2000.47,2910.26,2,56,56,,,,,,,437,32706.59,43290.38,
235,372011730,2,,,,37201,高松市,香南町由佐,29,2657.56,4587.94,23,3083.27,3600.69,2,2144.59,8934.15,,,,992,74386.33,100106.61,4
236,372011740,2,,,,37201,高松市,香南町岡,27,4530.29,7250.4,16,7496.08,14713.3,,,,,,,490,38483.79,49169.61,1
237,372011750,2,,,,37201,高松市,香南町横井,13,2232.24,5210.61,10,606.47,740.32,,,,,,,573,43091.6,60625.9,5
238,372011760,2,,,,37201,高松市,香南町西庄,27,2760.02,3881.39,10,1151.56,1290.44,,,,,,,918,63953.33,86747.73,7
239,372011770,2,,,,37201,高松市,香南町池内,14,5765.41,13489.19,7,391.15,596.28,,,,,,,502,38314.51,51170.94,
240,372011780,2,,,,37201,高松市,国分寺町新,59,8766.95,14508.5,93,21068.81,24231.44,7,1417.17,2743.21,,,,3159,245332.36,341389.39,94
241,372011790,2,,,,37201,高松市,国分寺町新,36,3165.83,5879.84,47,10176.09,11627.23,1,41.46,41.46,,,,1898,144467.48,202357.32,19
242,372011800,2,,,,37201,高松市,国分寺町柏,6,1026.69,1026.69,5,441.98,554.64,,,,,,,712,50770.25,72903.62,1
243,372011810,2,,,,37201,高松市,国分寺町福,36,7511.27,10867.93,34,9042.1,10632.13,,,,,,,2635,195468.74,272986.38,12
244,372011820,2,,,,37201,高松市,国分寺町国,53,6075.06,13233.4,50,10194.36,11699.83,15,1217.94,4258.88,,,,2204,173152.07,238452.75,46
