"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"美容所","ｈａｉｒ　Ｓｐｏｔ　カレンダー","760-0003","高松市西町１−２０","１０１","渡辺　光晴",,,,,,"第63-27号","S63.12.15"
"美容所","ＨＡｉＲ　ＭＡＫＥ　ＳＡＭＳＡＲＡ","760-0005","高松市宮脇町一丁目３番１３号",,"有限会社　美容室さかもと","代表取締役","坂本　勝","香川県","高松市番町五丁目１番１１号",,"第63-29号","H01.01.12"
"美容所","ビュティーサロン　ベル美容室","761-8002","高松市生島町４７２ー３",,"南原　鈴子",,,,,,"第63-30号","H01.01.17"
"美容所","ミヤ美容室","761-8044","高松市円座町８１２−１",,"四宮　麻子",,,,,,"第63-35号","H01.03.24"
"美容所","美容室ゼロ","761-8074","高松市太田上町４９７番地１",,"有限会社　美容室ゼロ","代表取締役","入倉　利一","香川県","高松市南新町１０番地３",,"第1-1号","H01.04.06"
"美容所","ラブ　太田店","761-8074","高松市太田上町９６４番地",,"有限会社　ラブ美容室","代表取締役","小川　雅弘","香川県","高松市松並町６５１番地１",,"第1-4号","H01.06.05"
"美容所","畑本美容室","761-1701","高松市香川町大野５７−８",,"畑本　節子",,,,,,"第1-8号","H01.06.30"
"美容所","青いリンゴ美容室","760-0021","高松市西の丸町７−１６−１","ふみやビル１階","尾路　順二",,,,,,"第1-12号","H01.08.11"
"美容所","美容室　ＫＩＤＳ","760-0080","高松市木太町２８１３番地","さかえレジデンス１Ｆ","島﨑　義英",,,,,,"第1-15号","H01.09.30"
"美容所","ＨＡＩＲ　ＳＴＹＬＩＳＴ　Ａ　ＷＡＫＥ","760-0026","高松市磨屋町１０−５","０２ビル２階","太田　亮浩",,,,,,"第1-27号","H01.12.07"
"美容所","タカ美容室","760-0012","高松市瀬戸内町１６−２５",,"堀上　孝子",,,,,,"第1-35号","H02.03.03"
