"#property","latitude","longitude","prefCode","identification","pref","city","name","fullNameInKana","fullNameInRomaji","address","katagaki","installationPosition","totalMensRestroom","smallMensRestroom","japaneseMensRestroom","westernMensRestroom","totalWomanRestroom","japaneseWomanRestroom","westernWomanRestroom","sharedRestroom","japaneseSharedRestroom","westernSharedRestroom","multifunctionalRestroom","wheelchairRestroom","anInfantRestroom","ostomateRestroom","startTime","endTime","availableDateNote","image","iamgeLicense","note"
"110","34.32054417","134.00578028","37201","110","香川県","高松市","青木公園","アオキコウエン","","高松市飯田町1219-1","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"111","34.33299833","134.05972778","37201","111","香川県","高松市","花園ふれあい公園","ハナゾノフレアイコウエン","","高松市花園町二丁目1307-1","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"112","34.34046194","134.08862083","37201","112","香川県","高松市","片田公園","カタダコウエン","","高松市春日町1761","","","2","2","","","","","","1","1","","","無","無","無","","","","","",""
"113","34.29900833","134.07009583","37201","113","香川県","高松市","林公園","ハヤシコウエン","","高松市林町1146-2","","","1","1","","","","","","1","1","","1","有","無","無","","","","","",""
"114","34.29066194","134.05092639","37201","114","香川県","高松市","多肥さくら公園","タヒサクラコウエン","","高松市多肥上町434-3","","","","","","","","","","1","1","","","無","無","無","","","","","",""
"115","34.32310778","134.09424889","37201","115","香川県","高松市","春日中央公園","カスガチュウオウコウエン","","高松市春日町516","","","","","","","","","","1","1","","","無","無","無","","","","","",""
"116","34.35432889","134.12558944","37201","116","香川県","高松市","山椒山公園","サンショウヤマコウエン","","高松市牟礼町牟礼2778-28","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"117","34.33922889","134.15435833","37201","117","香川県","高松市","牟礼川東公園","ムレカワヒガシコウエン","","高松市牟礼町大町978-18","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"118","34.34151083","134.13412306","37201","118","香川県","高松市","パーク六万寺公園","パークロクマンジコウエン","","高松市牟礼町牟礼1141-1","","","1","","1","","1","1","","","","","","無","無","無","","","","","",""
"119","34.23304","134.04682306","37201","119","香川県","高松市","川内原第一南公園","カワナイハラダイイチミナミコウエン","","高松市香川町川内原310-10","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"120","34.23615667","134.04636083","37201","120","香川県","高松市","川内原第一北公園","カワナイハラダイイチキタコウエン","","高松市香川町川内原261-8","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"121","34.32373333","134.16339722","37201","121","香川県","高松市","牟礼原クリーンハイツ西公園","ムレハラクリーンハイツニシコウエン","","高松市牟礼町原56-198","","","2","2","","","","","","1","1","","","無","無","無","","","","","",""
"122","34.352301","134.122344","37201","122","香川県","高松市","与一公園","ヨイチコウエン","","高松市牟礼町牟礼2633-5","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"123","34.311119","134.0261","37201","123","香川県","高松市","勅使町御殿ふれあい公園","チョクシチョウゴテンフレアイコウエン","","高松市勅使町1215-1","","","1","1","","","1","1","","","","","1","有","無","無","","","","","",""
"124","34.192927","134.042726","37201","124","香川県","高松市","塩江安原公園","シオノエヤスハラコウエン","","高松市塩江町安原下第2号1530-1","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
