#property,latitude,longitude,name,address,telephoneNumber
216,34.3453381136164,134.04176089219746,セブンイレブン高松新番丁小学校前店,錦町二丁目17番1号,811-7037
217,34.27552908940128,134.10159476091897,セブンイレブン高松十川西町店,十川西町414番地,848-2776
218,34.29788959922643,134.0558048253322,セブンイレブン高松多肥下町店,多肥下町384番地1,868-6168
219,34.3360979323829,134.04332399712047,セブン‐イレブン高松中央町店,中央町14番16号,862-3450
220,34.311866996922575,134.02447850938935,セブンイレブン高松勅使町店,勅使町1287番地1,865-0926
221,34.29469401861514,133.99452516828384,セブンイレブン高松中間町店,中間町471番地1,885-7781
222,34.285450583043,134.04613326828374,セブンイレブン高松仏生山店,仏生山町甲386番地2,889-1128
223,34.343534363133934,134.05004035540375,セブンイレブン高松丸亀町店,丸亀町11番地1,822-1125
224,34.27857051321746,134.06574154618488,セブンイレブン高松三谷町店,三谷町1257番地1,888-5715
225,34.34148740988035,134.04937947380736,セブンイレブン高松南新町店,高松市南新町1番地4,834-8258
226,34.35015796060399,134.08939267258265,セブンイレブン高松屋島西店,屋島西町2491番地2,844-3705
227,34.275317121211486,134.1214870179721,セブンイレブン三木町池戸店,三木町大字池戸3216番地1,891-1417
228,34.34747599665441,134.01035134374723,セブンイレブン香川労働基準会館前店,郷東町433番地,882-7728
229,34.316761734181654,134.0550217873006,セブンイレブン高松伏石町店,伏石町2037番地3,866-7106
230,34.314723142075714,134.08288200325435,装栄株式会社四国支店,元山町1231番地1-2Ｂ,865-6575
231,34.27368560402247,134.10504251919858,十河コミュニティセンター,十川西町579番地1,848-0166
232,34.17760459956955,134.07388285601155,十河商店,塩江町安原上634番地,893-0223
233,34.289363830882,134.02164314640365,ダイレックス一宮店,一宮町1584番地1,815-6133
234,34.27553376413783,134.09939875049233,ダイレックス川島店,川島東町533番地2,802-7992
235,34.33853879702634,134.07708608607643,ダイレックス木太店,木太町2439番地1,802-5070
236,34.28557219669741,133.96266030876546,ダイレックス国分寺店,国分寺町福家甲3139番地3,870-6511
237,34.32962568082111,134.0645502824278,ダイレックス高松中央店,上福岡町822番地,837-3125
238,34.31224181954984,134.07131030999284,ダイレックス高松店,木太町487番地1,815-3841
239,34.32143211854601,134.03095024374662,ダイレックス西春日店,西春日町1046番地1,814-5132
240,34.327005118176736,133.99465674497165,田岡商店,鬼無町藤井56番地7,881-3222
241,34.30097557267609,134.01387317934024,高木酒店,成合町541番地1,815-7225
242,34.33814997648472,134.04884617932933,高嶋金物店,田町3番地1,831-2633
243,34.24560384936881,133.99975323822238,高橋食料品店,香南町池内567番地33,879-4050
244,34.34286629517017,134.04600903270307,高松市職員消費生活協同組合,番町一丁目8番15号,839-2043
245,34.3435635341985,134.04492326771538,高松市四番丁コミュニティセンター,番町二丁目3番5号,851-8479
246,34.30236824336781,134.05420729956924,たけもと,多肥下町1555番地1,867-5980
247,34.31600254192764,133.98990769712873,立川酒・薬局,鬼無町鬼無269番地,882-3462
248,34.246007906346605,134.01141663822233,立石商店,香南町横井511番地1,815-8838
249,34.37191570647251,133.94689534557017,谷澤数光商店,亀水町448番地2,881-3336
250,34.39093524742426,134.1285702860018,谷商店,庵治町5839番地,871-2011
251,34.29640321221076,133.94015289580435,タニモト,高松市国分寺町新名72番地3,874-5757
252,34.29562935437694,133.9540570230903,谷本商店,国分寺町新名234番地1,874-0539
253,34.34138398786937,134.1163681860758,谷本食料品店,高松町2289番地2,841-9247
254,34.30455678053958,134.0283530676725,地域活動支援センター　ぼのぼの作業所,鹿角町939番地1,867-4415
255,34.30965870048934,134.05996815664682,チャーリーレインボーロード店,伏石町2103番地10,867-8831
256,34.236598165727216,134.03425799404818,中條建材店,香川町川東上1656番地2,879-2053
257,34.34778403416101,133.9970280670575,中美商店,香西本町545番地,882-0805
258,34.32700364076051,134.06286903270262,ちろりん村,上福岡町2058番地2,837-4568
259,34.30015618302002,134.04554678198588,ツクダ薬舗,太田上町756番地,866-9140
260,34.31951781795114,134.04525964557078,ディスカウントドラッグコスモス上之町店,上之町一丁目14番19号,864-6570
261,34.32705428806661,134.07029417318512,ディスカウントドラッグコスモス木太店,木太町1875番地2,812-2345
262,34.301668654752326,133.95118773390624,ディスカウントドラッグコスモス国分寺店,国分寺町国分458番地1,870-6105
263,34.347305768621574,134.02251462718104,ディスカウントドラッグコスモス高松西町店,西町774番2号,812-5250
264,34.29616550284023,134.05344118790228,ディスカウントドラッグコスモス多肥上町店,多肥上町1182番地1,815-1779
265,34.321193407551355,134.033563894062,ディスカウントドラッグコスモス西ハゼ店,西ハゼ町120番地2,864-5520
266,34.287284533535356,133.9613356032435,ディスカウントドラッグコスモス福家店,国分寺町福家甲3195番地1,874-5006
267,34.272948780553726,134.0355996093876,ディスカウントドラッグコスモス仏生山店,仏生山町甲1467番地,815-5015
268,34.34233427511433,134.13009943700024,ディスカウントドラッグコスモス牟礼店,牟礼町牟礼956番地,870-1016
269,34.31637348458518,134.08242311839467,ディスカウントドラッグコスモス元山店,元山町673番地,815-2558
270,34.34577642491457,134.09431394581748,ディスカウントドラッグコスモス屋島西町店,屋島西町1347番地7,844-8160
271,34.2922288733086,134.08881511247202,ディスカウントドラッグコスモス六条店,下田井町364番地1,840-7130
272,34.28874218091475,134.00700928935117,デイリーヤマザキ高松円座町店,円座町173番地1,885-6201
273,34.34575662689256,134.05187806706053,デイリーヤマザキ高松片原町店,片原町10番地18,821-5554
274,34.306100711757836,134.03309163822396,デイリーヤマザキ高松田村町店,田村町1147番地1,865-8651
275,34.23876422621548,134.07502233883446,デイリーヤマザキ高松西植田町店,西植田町2995番地1,849-1107
276,34.30841241163538,134.0561613149109,デイリーヤマザキ高松伏石町南店,伏石町2135番地15,869-9011
277,34.29321243571076,134.08379281061323,デイリーヤマザキ高松六条町店,六条町439番地,864-5288
278,34.2973135439043,134.0290377504812,豊島米穀店,鹿角町612番地,885-0413
279,34.307997911657246,134.09258291491085,ドラッグストアマツモトキヨシ　フレスポ高松店,東山崎町668番地1,847-6622
280,34.33870784896781,134.04892396276304,ドラッグセガミ田町店,田町1番地1,832-5775
281,34.310688825682455,134.0369302682845,ドン・キホーテ　パウ高松店,上天神町536番地,815-0411
282,34.28722029665352,134.03874029711898,どんぐりや,仏生山町甲42番地1,888-6232
283,34.34449148161969,134.0521022415101,永野米穀商店,大工町7番地9,821-7864
284,34.347280016832855,134.0955161682854,中村彰商店,屋島西町864番地,841-9505
285,34.357827352046165,133.97107916276366,中屋食品センター,中山町799番地2,881-2713
286,34.34126777319432,134.15217199098606,中山商店,牟礼町大町466番地1,845-9384
287,34.34303412200436,134.0449523486569,成豊堂,番町二丁目4番4号,851-5941
288,34.22881085114242,134.02947167932632,生創石丸,香南町岡199番地,879-1403
289,34.34027813936298,134.03872123823754,にしい,番町五丁目6番30号,835-0241
290,34.33756054508926,134.0048326942551,西神商店,香西東町100番地5,882-9631
291,34.27871526527331,134.04083248422984,西田救命堂,仏生山町甲2203番地8,889-1587
292,34.32354393497363,134.18563756579405,西村ジョイ志度店,さぬき市志度1275番地1,843-6000
293,34.30198082173897,134.01529260106324,西村ジョイ成合店,成合町812番地1,885-3000
294,34.345999671624966,134.08846679712073,西村ジョイ屋島店,屋島西町2105番地8,843-5000
295,34.29065182654355,134.02493964988022,西村商店,一宮町674番地4,885-2236
296,34.344551672391276,134.03651665663486,二番丁地区コミュニティセンター,扇町二丁目8番7号,822-3556
297,34.345685826892044,134.0495738026428,野田屋電機,古新町１番地6,851-4545
298,34.347547631331,133.99854093883815,橋本金物店,香西本町518番地10,881-2259
299,34.29949347652684,134.0481302713421,蓮井酒米店,太田下町1385番地1,865-6101
300,34.34443826810607,134.05512287479382,パッケージプラザ山宝,通町3番地3,821-2285
301,34.346329994544526,134.12245406379213,馬場商店,牟礼町牟礼2444番地10,845-1467
