"#property","lunchDay","menuName","foodName","quantity"
"258","7/12","夏野菜カレーライス","しょうゆ","1"
"259","7/12","夏野菜カレーライス","チャツネ　450g","1"
"260","7/12","夏野菜カレーライス","赤ぶどう酒","1"
"261","7/12","夏野菜カレーライス","食塩","0.5"
"262","7/12","夏野菜カレーライス","こしょう","0.04"
"263","7/12","夏野菜カレーライス","チキンコンソメ","0.5"
"264","7/12","夏野菜カレーライス","湯","75"
"265","7/12","牛乳","牛乳","206"
"266","7/12","　海そうサラダ　","（乾）海藻ミックス","1"
"267","7/12","　海そうサラダ　","キャベツ","30"
"268","7/12","　海そうサラダ　","きゅうり","15"
"269","7/12","　海そうサラダ　","（缶）ホールコーン","5"
"270","7/12","　海そうサラダ　","（個）棒々鶏ドレッシング","10"
"271","7/12","小にぼし","小煮干し","4"
"272","7/12","　チーズ","（個）チーズ　鉄強化","135"
"273","7/16","わかめごはん（麦入り）","精白米（自校）","62"
"274","7/16","わかめごはん（麦入り）","精白米（自校）","68"
"275","7/16","わかめごはん（麦入り）","米粒麦　自校","6"
"276","7/16","わかめごはん（麦入り）","米粒麦　自校","7"
"277","7/16","わかめごはん（麦入り）","鉄強化米","0.5"
"278","7/16","わかめごはん（麦入り）","炊き込みわかめ　200g","1.9"
"279","7/16","牛乳","牛乳","206"
"280","7/16","こうやどうふのうま煮","豚肉並（２×２㎝スライス）","25"
"281","7/16","こうやどうふのうま煮","清酒","1"
"282","7/16","こうやどうふのうま煮","高野豆腐（サイコロ）","15"
"283","7/16","こうやどうふのうま煮","玉葱","40"
"284","7/16","こうやどうふのうま煮","人参","10"
"285","7/16","こうやどうふのうま煮","（冷）さやいんげん　５００ｇ","7"
"286","7/16","こうやどうふのうま煮","干ししいたけ（スライス）","1"
"287","7/16","こうやどうふのうま煮","しょうゆ","3"
"288","7/16","こうやどうふのうま煮","三温糖","2.5"
"289","7/16","こうやどうふのうま煮","食塩","0.2"
"290","7/16","こうやどうふのうま煮","削り節　だし用","2"
"291","7/16","こうやどうふのうま煮","湯","50"
"292","7/16","きゅうりのあえもの","きゅうり","30"
"293","7/16","きゅうりのあえもの","もやし","20"
"294","7/16","きゅうりのあえもの","人参","10"
"295","7/16","きゅうりのあえもの","（個）青じそドレッシング","8"
"296","7/17","ごはん","精白米（委託・白）","70"
"297","7/17","ごはん","精白米（委託・白）","80"
"298","7/17","牛乳","牛乳","206"
"299","7/17","チンジャオロース","牛肉（１×３×０．５㎝）","30"
"300","7/17","チンジャオロース","清酒","1"
"301","7/17","チンジャオロース","たけのこ水煮（ホール）","20"
"302","7/17","チンジャオロース","ピーマン","20"
"303","7/17","チンジャオロース","玉葱","15"
"304","7/17","チンジャオロース","人参","10"
"305","7/17","チンジャオロース","生姜","0.5"
"306","7/17","チンジャオロース","サラダ油","1"
"307","7/17","チンジャオロース","しょうゆ","3"
"308","7/17","チンジャオロース","上白糖","1.5"
"309","7/17","チンジャオロース","オイスターソース","0.7"
"310","7/17","チンジャオロース","でんぷん","0.5"
"311","7/17","チンジャオロース","ごま油","0.5"
"312","7/17","ビーフン担々スープ","豚肉並ミンチ","10"
"313","7/17","ビーフン担々スープ","豆板醤","0.1"
"314","7/17","ビーフン担々スープ","清酒","1"
"315","7/17","ビーフン担々スープ","にんにく　","0.3"
"316","7/17","ビーフン担々スープ","生姜","0.3"
"317","7/17","ビーフン担々スープ","ビーフン","7"
"318","7/17","ビーフン担々スープ","玉葱","15"
"319","7/17","ビーフン担々スープ","もやし","10"
"320","7/17","ビーフン担々スープ","人参","7"
"321","7/17","ビーフン担々スープ","にら","5"
"322","7/17","ビーフン担々スープ","サラダ油","0.5"
"323","7/17","ビーフン担々スープ","（袋）がらスープ　１ｋｇ","4"
"324","7/17","ビーフン担々スープ","中みそ","4"
"325","7/17","ビーフン担々スープ","白ごまペースト","7"
"326","7/17","ビーフン担々スープ","しょうゆ","1"
"327","7/17","ビーフン担々スープ","チキンコンソメ","0.5"
"328","7/17","ビーフン担々スープ","食塩","0.2"
"329","7/17","ビーフン担々スープ","こしょう","0.03"
"330","7/17","ビーフン担々スープ","湯","115"
"331","7/18","コッペパン　","コッペパン　","50"
"332","7/18","コッペパン　","コッペパン　","50"
"333","7/18","牛乳","牛乳","206"
"334","7/18","ラタトゥイユ","粗挽きウインナー（２㎝）","25"
"335","7/18","ラタトゥイユ","玉葱","30"
"336","7/18","ラタトゥイユ","なす","30"
"337","7/18","ラタトゥイユ","ズッキーニ","10"
"338","7/18","ラタトゥイユ","（生）かぼちゃ（２×２㎝）","25"
"339","7/18","ラタトゥイユ","にんにく　","0.5"
"340","7/18","ラタトゥイユ","サラダ油","1"
"341","7/18","ラタトゥイユ","（袋）トマト水煮　１ｋｇ","15"
"342","7/18","ラタトゥイユ","（袋）トマトケチャップ　１kg","8"
"343","7/18","ラタトゥイユ","上白糖","0.5"
"344","7/18","ラタトゥイユ","赤ぶどう酒","1"
"345","7/18","ラタトゥイユ","ウスターソース","0.3"
"346","7/18","ラタトゥイユ","チキンコンソメ","0.4"
"347","7/18","ラタトゥイユ","食塩","0.2"
"348","7/18","ラタトゥイユ","こしょう","0.02"
"349","7/18","ラタトゥイユ","湯","20"
"350","7/18","ビーンズサラダ","（冷）大豆水煮","10"
"351","7/18","ビーンズサラダ","キャベツ","30"
"352","7/18","ビーンズサラダ","きゅうり","15"
"353","7/18","ビーンズサラダ","人参","5"
"354","7/18","ビーンズサラダ","（個）イタリアンドレッシング","8"
"355","7/19","ごはん","精白米（委託・白）","70"
"356","7/19","ごはん","精白米（委託・白）","80"
"357","7/19","牛乳","牛乳","206"
"358","7/19","あじのなんばんづけ　","冷）アジ　一口カット打ち粉付き","30"
"359","7/19","あじのなんばんづけ　","なたね油","4"
"360","7/19","あじのなんばんづけ　","細ねぎ","2"
"361","7/19","あじのなんばんづけ　","食酢","3"
"362","7/19","あじのなんばんづけ　","しょうゆ","2.2"
"363","7/19","あじのなんばんづけ　","上白糖","2.2"
"364","7/19","あじのなんばんづけ　","みりん","0.8"
"365","7/19","あじのなんばんづけ　","一味","0.01"
"366","7/19","あじのなんばんづけ　","水","1.1"
"367","7/19","夏野菜のあえもの","アスパラガス","15"
"368","7/19","夏野菜のあえもの","きゅうり","20"
"369","7/19","夏野菜のあえもの","（缶）ホールコーン","8"
"370","7/19","夏野菜のあえもの","オクラ","10"
"371","7/19","夏野菜のあえもの","（個）焙煎ごまドレッシング","8"
"372","7/19","　白玉汁","（冷）白玉","25"
"373","7/19","　白玉汁","玉葱","25"
"374","7/19","　白玉汁","人参","10"
"375","7/19","　白玉汁","中ねぎ","5"
"376","7/19","　白玉汁","中みそ","5.5"
"377","7/19","　白玉汁","甘みそ","5"
"378","7/19","　白玉汁","煮干し　だし用","4"
"379","7/19","　白玉汁","水","115"
"380",,,,
"381",,,,
"382",,,,
"383",,,,
"384",,,,
"385",,,,
"386",,,,
"387",,,,
"388",,,,
"389",,,,
"390",,,,
"391",,,,
"392",,,,
"393",,,,
"394",,,,
"395",,,,
"396",,,,
"397",,,,
"398",,,,
"399",,,,
"400",,,,
"401",,,,
"402",,,,
"403",,,,
"404",,,,
"405",,,,
"406",,,,
"407",,,,
"408",,,,
"409",,,,
"410",,,,
"411",,,,
"412",,,,
"413",,,,
"414",,,,
"415",,,,
"416",,,,
"417",,,,
"418",,,,
"419",,,,
"420",,,,
"421",,,,
"422",,,,
"423",,,,
"424",,,,
"425",,,,
"426",,,,
"427",,,,
"428",,,,
"429",,,,
"430",,,,
"431",,,,
"432",,,,
"433",,,,
"434",,,,
"435",,,,
"436",,,,
"437",,,,
"438",,,,
"439",,,,
"440",,,,
"441",,,,
"442",,,,
"443",,,,
"444",,,,
"445",,,,
"446",,,,
"447",,,,
"448",,,,
"449",,,,
"450",,,,
"451",,,,
"452",,,,
"453",,,,
"454",,,,
"455",,,,
"456",,,,
"457",,,,
"458",,,,
"459",,,,
"460",,,,
"461",,,,
"462",,,,
"463",,,,
"464",,,,
"465",,,,
"466",,,,
"467",,,,
"468",,,,
"469",,,,
"470",,,,
"471",,,,
"472",,,,
"473",,,,
"474",,,,
"475",,,,
"476",,,,
"477",,,,
"478",,,,
"479",,,,
"480",,,,
"481",,,,
"482",,,,
"483",,,,
"484",,,,
"485",,,,
"486",,,,
"487",,,,
"488",,,,
"489",,,,
"490",,,,
"491",,,,
"492",,,,
"493",,,,
"494",,,,
"495",,,,
"496",,,,
"497",,,,
"498",,,,
"499",,,,
"500",,,,
"501",,,,
"502",,,,
"503",,,,
"504",,,,
"505",,,,
"506",,,,
"507",,,,
"508",,,,
"509",,,,
"510",,,,
"511",,,,
"512",,,,
"513",,,,
"514",,,,
"515",,,,
"516",,,,
"517",,,,
"518",,,,
"519",,,,
"520",,,,
"521",,,,
"522",,,,
"523",,,,
"524",,,,
"525",,,,
"526",,,,
"527",,,,
"528",,,,
"529",,,,
"530",,,,
"531",,,,
"532",,,,
"533",,,,
"534",,,,
"535",,,,
"536",,,,
"537",,,,
"538",,,,
"539",,,,
"540",,,,
"541",,,,
"542",,,,
"543",,,,
"544",,,,
"545",,,,
"546",,,,
"547",,,,
"548",,,,
"549",,,,
"550",,,,
"551",,,,
"552",,,,
"553",,,,
"554",,,,
"555",,,,
"556",,,,
"557",,,,
"558",,,,
"559",,,,
"560",,,,
"561",,,,
"562",,,,
"563",,,,
"564",,,,
"565",,,,
"566",,,,
"567",,,,
"568",,,,
"569",,,,
"570",,,,
"571",,,,
"572",,,,
"573",,,,
"574",,,,
"575",,,,
"576",,,,
"577",,,,
"578",,,,
"579",,,,
"580",,,,
"581",,,,
"582",,,,
"583",,,,
"584",,,,
"585",,,,
"586",,,,
"587",,,,
"588",,,,
"589",,,,
"590",,,,
"591",,,,
"592",,,,
"593",,,,
"594",,,,
"595",,,,
"596",,,,
"597",,,,
"598",,,,
"599",,,,
"600",,,,
"601",,,,
"602",,,,
"603",,,,
"604",,,,
"605",,,,
"606",,,,
"607",,,,
"608",,,,
"609",,,,
"610",,,,
"611",,,,
"612",,,,
"613",,,,
"614",,,,
"615",,,,
"616",,,,
"617",,,,
"618",,,,
"619",,,,
"620",,,,
"621",,,,
"622",,,,
"623",,,,
"624",,,,
"625",,,,
"626",,,,
"627",,,,
"628",,,,
"629",,,,
"630",,,,
"631",,,,
"632",,,,
"633",,,,
"634",,,,
"635",,,,
"636",,,,
"637",,,,
"638",,,,
"639",,,,
"640",,,,
"641",,,,
"642",,,,
"643",,,,
"644",,,,
"645",,,,
"646",,,,
"647",,,,
