"#property","areaCode","areaNumber","confidential","confidentialInformation","totalArea","cityCode","cityName","townName","beforeShowa46","showa4657","showa57Heisei","heisei211","heisei1221","heisei22","unknown","total","verificationOfAccounts","subtraction"
"25","37201017004","3",,,,"37201","高松市","朝日町４丁目","90","53","37","48","41","28","0","297","297","0"
"26","37201017005","3",,,,"37201","高松市","朝日町５丁目","32","45","55","52","19","3","0","206","206","0"
"27","37201017006","3",,,,"37201","高松市","朝日町６丁目","0","0","16","51","10","1","0","78","78","0"
"28","372010180","2",,,,"37201","高松市","東浜町","32","7","5","2","3","5","0","54","54","0"
"29","37201019001","3",,,,"37201","高松市","城東町１丁目","51","20","13","16","4","4","0","108","108","0"
"30","37201019002","3",,,,"37201","高松市","城東町２丁目","59","39","9","19","15","2","0","143","143","0"
"31","372010200","2",,,,"37201","高松市","朝日新町","0","78","69","22","6","0","0","175","175","0"
"32","372010210","2",,,,"37201","高松市","通町","36","10","7","13","3","1","0","70","70","0"
"33","372010220","2",,,,"37201","高松市","井口町","32","17","5","3","5","3","0","65","65","0"
"34","372010230","2",,,,"37201","高松市","末広町","39","34","18","13","6","3","0","113","113","0"
"35","37201024001","3",,,,"37201","高松市","福岡町１丁目","33","16","11","15","26","5","0","106","106","0"
"36","37201024002","3",,,,"37201","高松市","福岡町２丁目","160","89","64","75","51","28","0","467","467","0"
"37","37201024003","3",,,,"37201","高松市","福岡町３丁目","194","129","62","86","51","17","0","539","539","0"
"38","37201024004","3",,,,"37201","高松市","福岡町４丁目","215","67","47","67","59","50","0","505","505","0"
"39","37201025001","3",,,,"37201","高松市","松福町１丁目","121","80","41","49","56","19","0","366","366","0"
"40","37201025002","3",,,,"37201","高松市","松福町２丁目","101","68","54","45","32","10","0","310","310","0"
"41","37201026000","3",,,,"37201","高松市","松島町","22","7","7","6","8","2","0","52","52","0"
"42","37201026001","3",,,,"37201","高松市","松島町１丁目","83","51","28","32","22","10","0","226","226","0"
"43","37201026002","3",,,,"37201","高松市","松島町２丁目","155","76","40","44","45","13","0","373","373","0"
"44","37201026003","3",,,,"37201","高松市","松島町３丁目","272","109","94","89","73","40","0","677","677","0"
"45","37201027001","3",,,,"37201","高松市","多賀町１丁目","89","38","24","21","4","15","0","191","191","0"
"46","37201027002","3",,,,"37201","高松市","多賀町２丁目","108","60","28","52","37","30","1","316","315","-1"
"47","37201027003","3",,,,"37201","高松市","多賀町３丁目","126","75","50","48","50","10","0","359","359","0"
"48","37201028001","3",,,,"37201","高松市","花園町１丁目","99","37","34","44","21","6","0","241","241","0"
"49","37201028002","3",,,,"37201","高松市","花園町２丁目","56","50","22","41","15","19","0","203","203","0"
"50","37201028003","3",,,,"37201","高松市","花園町３丁目","61","25","19","12","69","16","0","202","202","0"
"51","37201029001","3",,,,"37201","高松市","観光通１丁目","21","14","13","4","7","1","0","60","60","0"
"52","37201029002","3",,,,"37201","高松市","観光通２丁目","34","9","9","11","7","14","0","84","84","0"
"53","372010300","2",,,,"37201","高松市","田町","78","40","37","18","13","3","0","189","189","0"
"54","372010310","2",,,,"37201","高松市","東田町","41","19","18","11","7","2","0","98","98","0"
"55","37201032000","3",,,,"37201","高松市","藤塚町","8","4","0","5","4","0","0","21","21","0"
"56","37201032001","3",,,,"37201","高松市","藤塚町１丁目","190","77","38","41","28","6","0","380","380","0"
"57","37201032002","3",,,,"37201","高松市","藤塚町２丁目","96","57","31","29","16","7","0","236","236","0"
"58","37201032003","3",,,,"37201","高松市","藤塚町３丁目","99","56","24","37","25","16","0","257","257","0"
"59","37201033001","3",,,,"37201","高松市","栗林町１丁目","71","63","35","51","34","15","0","269","269","0"
"60","37201033002","3",,,,"37201","高松市","栗林町２丁目","109","70","57","55","34","26","0","351","351","0"
"61","37201033003","3",,,,"37201","高松市","栗林町３丁目","97","48","31","24","35","12","0","247","247","0"
"62","37201034001","3",,,,"37201","高松市","桜町１丁目","67","65","45","45","51","27","0","300","300","0"
"63","37201034002","3",,,,"37201","高松市","桜町２丁目","50","35","63","74","64","22","0","308","308","0"
"64","37201035001","3",,,,"37201","高松市","楠上町１丁目","102","50","32","54","25","50","0","313","313","0"
"65","37201035002","3",,,,"37201","高松市","楠上町２丁目","33","39","14","14","24","12","0","136","136","0"
"66","37201036001","3",,,,"37201","高松市","花ノ宮町１丁目","69","46","31","74","53","17","1","291","290","-1"
"67","37201036002","3",,,,"37201","高松市","花ノ宮町２丁目","97","68","33","49","31","29","0","307","307","0"
"68","37201036003","3",,,,"37201","高松市","花ノ宮町３丁目","55","35","16","13","32","22","0","173","173","0"
"69","37201037001","3",,,,"37201","高松市","上之町１丁目","32","59","42","66","32","25","0","256","256","0"
"70","37201037002","3",,,,"37201","高松市","上之町２丁目","140","86","72","53","58","42","0","451","451","0"
"71","37201037003","3",,,,"37201","高松市","上之町３丁目","0","0","0","0","0","0","0","0","0","0"
"72","372010380","2",,,,"37201","高松市","旅籠町","4","2","3","1","1","0","0","11","11","0"
"73","372010390","2",,,,"37201","高松市","中新町","40","24","10","18","5","2","0","99","99","0"
"74","372010400","2",,,,"37201","高松市","天神前","76","55","19","24","14","4","0","192","192","0"
"75","372010410","2",,,,"37201","高松市","中央町","129","43","43","45","30","22","0","312","312","0"
"76","372010420","2",,,,"37201","高松市","中野町","185","106","66","88","49","23","0","517","517","0"
"77","372010430","2",,,,"37201","高松市","亀岡町","111","59","39","44","13","16","0","282","282","0"
"78","37201044001","3",,,,"37201","高松市","番町１丁目","36","22","11","25","7","5","0","106","106","0"
"79","37201044002","3",,,,"37201","高松市","番町２丁目","61","43","24","29","21","11","0","189","189","0"
"80","37201044003","3",,,,"37201","高松市","番町３丁目","69","37","43","27","34","22","0","232","232","0"
"81","37201044004","3",,,,"37201","高松市","番町４丁目","70","43","17","44","15","13","1","203","202","-1"
